ID,text,created_at,retweets (rt),favorites (fav),sum (rt+fav),norm rt,norm fav,score (norm sum),media,mention,hashtag,length,class4 (split 4),class2 (split 2),pred score,pred norm rt,pred norm fav,,pred sum1 (denormalised pred score),pred class4,correct class?,,,pred class2,correct class?,,pred rt,pred fav,pred sum2 (pred rt + pred fav),pred class4,correct class?,,pred class2,correct class?,,sum err sq,rt err sq,fav err sq,,,mse sum,mse rt,mse fav,,,
11,make america great again!,04/02/2017 14:26,66140,255896,322036,0.391905905,0.654407565,0.65311527,0,0,0,25,VP,P,1.59E-01,1.10E-01,1.27E-01,,78797.86777,P,0,,,P,1,,18796.44,49979.737,68776.177,P,0,,P,1,,2.44E-01,7.95E-02,2.78E-01,,,ACCURACY 4 (SUM of denormalised rt and fav for 2 classes),,,,,sum correct classes
12,everybody is arguing whether or not it is a ban. call it what you want it is about keeping bad people (with bad intentions) out of country!,01/02/2017 12:50,60583,252382,312965,0.358978461,0.645407255,0.634679327,0,0,0,139,VP,P,1.05E-01,5.25E-02,1.04E-01,,52358.20656,P,0,,,P,1,,9107.46,40999.824,50107.284,P,0,,P,1,,2.81E-01,9.39E-02,2.93E-01,,,0.619857143,,,,,4339
13,fidel castro is dead!,26/11/2016 13:08,99483,209846,309329,0.589476491,0.536460988,0.627289504,0,0,0,21,VP,P,1.19E-01,9.49E-02,1.09E-01,,59404.26797,P,0,,,P,1,,16252.0296,42951.979,59204.0086,P,0,,P,1,,2.58E-01,2.45E-01,1.83E-01,,,,,,,,
14,see you in court the security of our nation is at stake!,09/02/2017 23:35,67448,237614,305062,0.399656327,0.60758239,0.618617233,0,0,0,56,VP,P,1.20E-01,4.75E-02,1.21E-01,,59641.64928,P,0,,,P,1,,8264.94,47637.151,55902.091,P,0,,P,1,,2.49E-01,1.24E-01,2.37E-01,,,,,,,,
15,just had a very open and successful presidential election. now professional protesters incited by the media are protesting. very unfair!,11/11/2016 02:19,69498,231526,301024,0.411803395,0.591989366,0.610410383,0,0,0,136,VP,P,1.32E-01,8.30E-02,1.30E-01,,65566.17433,P,0,,,P,1,,14246.832,51151.03,65397.862,P,0,,P,1,,2.29E-01,1.08E-01,2.13E-01,,,,,,,,
16,"who can figure out the true meaning of ""covfefe"" ??? enjoy!",31/05/2017 10:09,85555,209543,295098,0.506947531,0.535684923,0.598366353,0,0,0,59,VP,P,9.30E-02,3.90E-02,1.01E-01,,46435.72341,P,0,,,P,1,,6832.656,39828.531,46661.187,P,0,,P,1,,2.55E-01,2.19E-01,1.89E-01,,,,,,,,
17,happy presidents day - make america great again!,20/02/2017 14:33,48802,242519,291321,0.289171333,0.620145429,0.590689961,0,0,0,48,VP,P,9.99E-02,8.44E-02,8.04E-02,,49827.65074,P,0,,,P,1,,14482.7376,31785.6524,46268.39,P,0,,P,1,,2.41E-01,4.19E-02,2.91E-01,,,,,,,,
18,despite the constant negative press covfefe,31/05/2017 04:06,127507,162788,290295,0.755529879,0.415932649,0.588604714,0,0,0,43,VP,P,1.22E-01,9.33E-02,1.14E-01,,60787.07994,P,0,,,P,1,,15982.4232,44904.134,60886.5572,P,0,,P,1,,2.18E-01,4.39E-01,9.12E-02,,,,,,,,
19,the united states condemns the terror attack in barcelona spain and will do whatever is necessary to help. be tough strong we love you!,17/08/2017 18:00,66115,222216,288331,0.39175777,0.568143923,0.584613071,0,0,0,135,VP,P,1.58E-01,1.09E-01,1.55E-01,,78282.39905,P,0,,,P,1,,18627.936,60911.805,79539.741,P,0,,P,1,,1.82E-01,8.00E-02,1.71E-01,,,,,,,,
20,nobody should be allowed to burn the american flag - if they do there must be consequences - perhaps loss of citizenship or year in jail!,29/11/2016 11:55,72830,214139,286969,0.431546825,0.547456529,0.581844936,0,0,0,137,VP,P,1.51E-01,8.87E-02,1.50E-01,,75212.98243,P,0,,,P,1,,15207.3048,58959.65,74166.9548,P,0,,P,1,,1.86E-01,1.18E-01,1.58E-01,,,,,,,,
21,hope you like my nomination of judge neil gorsuch for the united states supreme court. he is a good and brilliant man respected by all.,01/02/2017 03:45,34238,250940,285178,0.202873819,0.641713901,0.578204899,0,0,0,135,VP,P,1.63E-01,1.12E-01,1.63E-01,,81009.51645,P,0,,,P,1,,19133.448,64035.253,83168.701,P,0,,P,1,,1.72E-01,8.26E-03,2.29E-01,,,,,,,,
22,christians in the middle-east have been executed in large numbers. we cannot allow this horror to continue!,29/01/2017 15:03,59432,223856,283288,0.352158327,0.572344409,0.574363654,0,0,0,107,VP,P,1.45E-01,1.13E-01,1.36E-01,,71923.01096,P,0,,,P,1,,19301.952,53493.616,72795.568,P,0,,P,1,,1.84E-01,5.72E-02,1.90E-01,,,,,,,,
23,we did it! thank you to all of my great supporters we just officially won the election (despite all of the distorted and inaccurate media).,19/12/2016 23:51,59296,223249,282545,0.351352472,0.570789717,0.572853577,0,0,0,139,VP,P,1.19E-01,6.07E-02,1.18E-01,,59462.69499,P,0,,,P,1,,10489.1928,46465.858,56955.0508,P,0,,P,1,,2.06E-01,8.45E-02,2.05E-01,,,,,,,,
24,#standforouranthem,25/09/2017 13:02,74410,207402,281812,0.440908956,0.530201239,0.571363825,0,0,1,18,VP,P,6.13E-02,3.32E-02,6.12E-02,,30851.92439,LP,0,,,U,0,,5855.3328,24289.3772,30144.71,LP,0,,U,0,,2.60E-01,1.66E-01,2.20E-01,,,,,,,,
25,subject to the receipt of further information i will be allowing as president the long blocked and classified jfk files to be opened.,21/10/2017 12:35,70520,210520,281040,0.417859153,0.538187285,0.569794808,0,0,0,133,VP,P,1.42E-01,9.33E-02,1.44E-01,,70548.23462,P,0,,,P,1,,15982.4232,56617.064,72599.4872,P,0,,P,1,,1.83E-01,1.05E-01,1.55E-01,,,,,,,,
26,january 20th 2017 will be remembered as the day the people became the rulers of this nation again.,20/01/2017 17:53,60604,218555,279159,0.359102895,0.558767106,0.565971855,0,0,0,98,VP,P,1.14E-01,6.68E-02,1.16E-01,,56752.95026,P,0,,,P,1,,11517.0672,45684.996,57202.0632,P,0,,P,1,,2.04E-01,8.54E-02,1.96E-01,,,,,,,,
27,going to the white house is considered a great honor for a championship team.stephen curry is hesitatingtherefore invitation is withdrawn!,23/09/2017 12:45,64839,214319,279158,0.38419696,0.547917558,0.565969823,0,0,0,138,VP,P,8.38E-02,4.98E-02,8.37E-02,,41906.80065,LP,0,,,U,0,,8652.4992,33074.0747,41726.5739,LP,0,,U,0,,2.32E-01,1.12E-01,2.15E-01,,,,,,,,
28,love the fact that the small groups of protesters last night have passion for our great country. we will all come together and be proud!,11/11/2016 11:14,55954,221718,277672,0.331549788,0.56686841,0.56294967,0,0,0,136,VP,P,9.26E-02,2.55E-02,1.07E-01,,46235.54359,P,0,,,P,1,,4557.852,42171.117,46728.969,P,0,,P,1,,2.21E-01,9.37E-02,2.11E-01,,,,,,,,
29,if u.c. berkeley does not allow free speech and practices violence on innocent people with a different point of view - no federal funds?,02/02/2017 11:13,60266,213655,273921,0.35710011,0.546216873,0.55532612,0,0,0,136,VP,P,1.12E-01,7.76E-02,9.58E-02,,55551.47174,P,0,,,P,1,,13336.9104,37798.2898,51135.2002,P,0,,P,1,,1.97E-01,7.81E-02,2.03E-01,,,,,,,,
30,our country needs strong borders and extreme vetting now. look what is happening all over europe and indeed the world - a horrible mess!,29/01/2017 13:08,50439,218717,269156,0.298871211,0.559182032,0.545641711,0,0,0,136,VP,P,1.43E-01,3.60E-02,1.63E-01,,70830.54514,P,0,,,P,1,,6327.144,64035.253,70362.397,P,0,,P,1,,1.62E-01,6.91E-02,1.57E-01,,,,,,,,
31,"if chicago doesn't fix the horrible ""carnage"" going on 228 shootings in 2017 with 42 killings (up 24% from 2016) i will send in the feds!",25/01/2017 02:25,56038,209363,265401,0.332047522,0.535223894,0.538010032,0,0,0,137,VP,P,8.90E-02,6.20E-02,8.80E-02,,44465.06696,P,0,,,P,1,,10708.248,34752.928,45461.176,P,0,,P,1,,2.02E-01,7.29E-02,2.00E-01,,,,,,,,
32,the media has not reported that the national debt in my first month went down by $12 billion vs a $200 billion increase in obama first mo.,25/02/2017 13:19,62450,201400,263850,0.370041182,0.514828484,0.534857772,0,0,0,138,VP,P,4.04E-01,2.83E-01,4.11E-01,,199277.6809,VP,1,,,P,1,,47947.632,160862.141,208809.773,VP,1,,P,1,,1.71E-02,7.58E-03,1.08E-02,,,,,,,,
33,the issue of kneeling has nothing to do with race. it is about respect for our country flag and national anthem. nfl must respect this!,25/09/2017 11:39,56083,206672,262755,0.332314165,0.528331511,0.532632289,0,0,0,135,VP,P,7.35E-02,4.08E-02,7.91E-02,,36854.72178,LP,0,,,U,0,,7135.9632,31278.0921,38414.0553,LP,0,,U,0,,2.11E-01,8.50E-02,2.02E-01,,,,,,,,
34,merry christmas and a very very very very happy new year to everyone!,25/12/2016 17:48,50193,212467,262660,0.297413563,0.543174082,0.532439211,0,0,0,69,VP,P,7.13E-02,3.83E-02,6.78E-02,,35780.02455,LP,0,,,U,0,,6714.7032,26866.2218,33580.925,LP,0,,U,0,,2.13E-01,6.71E-02,2.26E-01,,,,,,,,
35,watched protests yesterday but was under the impression that we just had an election! why didn't these people vote? celebs hurt cause badly.,22/01/2017 12:47,45718,213295,259013,0.270897402,0.545294815,0.525027031,0,0,0,140,VP,P,2.12E-01,1.35E-01,2.34E-01,,105182.7825,VP,1,,,P,1,,23009.04,91755.854,114764.894,VP,1,,P,1,,9.80E-02,1.85E-02,9.69E-02,,,,,,,,
36,wow television ratings just out: 31 million people watched the inauguration 11 million more than the very good ratings from 4 years ago!,22/01/2017 12:51,40085,217610,257695,0.237519628,0.556346704,0.522348322,0,0,0,136,VP,P,6.00E-02,3.81E-02,4.08E-02,,30207.38686,LP,0,,,U,0,,6681.0024,16324.5848,23005.5872,U,0,,U,0,,2.14E-01,3.98E-02,2.66E-01,,,,,,,,
37,my use of social media is not presidential - it?s modern day presidential. make america great again!,01/07/2017 22:41,56387,199049,255436,0.334115486,0.508806934,0.51775712,0,0,0,100,VP,P,1.45E-01,1.03E-01,1.43E-01,,72188.66365,P,0,,,P,1,,17616.912,56226.633,73843.545,P,0,,P,1,,1.39E-01,5.34E-02,1.34E-01,,,,,,,,
38,i am so proud of our great country. god bless america!,03/10/2017 11:40,43026,212403,255429,0.254946227,0.543010161,0.517742893,0,0,0,54,VP,P,7.37E-02,4.35E-02,7.34E-02,,36929.9276,LP,0,,,U,0,,7590.924,29052.6354,36643.5594,LP,0,,U,0,,1.97E-01,4.47E-02,2.21E-01,,,,,,,,
39,this will prove to be a great time in the lives of all americans. we will unite and we will win win win!,12/11/2016 15:05,53578,201692,255270,0.31747104,0.515576376,0.51741974,0,0,0,104,VP,P,1.89E-01,1.35E-01,1.97E-01,,93461.19557,P,0,,,P,1,,23009.04,77309.907,100318.947,VP,1,,P,1,,1.08E-01,3.33E-02,1.01E-01,,,,,,,,
40,we all must be united condemn all that hate stands for. there is no place for this kind of violence in america. lets come together as one!,12/08/2017 17:19,59652,195440,255092,0.353461914,0.499563303,0.517057972,0,0,0,138,VP,P,1.87E-01,1.38E-01,2.20E-01,,92653.82635,P,0,,,P,1,,23514.552,86289.82,109804.372,VP,1,,P,1,,1.09E-01,4.64E-02,7.82E-02,,,,,,,,
41,#happyindependenceday #usa????,05/07/2017 02:19,47259,205493,252752,0.280028442,0.525311771,0.512302145,1,0,1,30,VP,P,3.40E-02,2.18E-02,3.19E-02,,17420.02363,U,0,,,U,0,,3934.3872,12849.7489,16784.1361,U,0,,U,0,,2.29E-01,6.67E-02,2.43E-01,,,,,,,,
42,courageous patriots have fought and died for our great american flag --- we must honor and respect it! make america great again!,24/09/2017 19:32,52950,199204,252154,0.313749889,0.509203931,0.511086767,0,0,0,128,VP,P,1.20E-01,6.64E-02,1.09E-01,,59898.76411,P,0,,,P,1,,11449.6656,42951.979,54401.6446,P,0,,P,1,,1.53E-01,6.12E-02,1.60E-01,,,,,,,,
43,"we must keep ""evil"" out of our country!",03/02/2017 23:08,44904,204985,249889,0.266074127,0.524010645,0.506483371,0,0,0,39,VP,P,6.46E-02,4.19E-02,6.68E-02,,32455.95659,LP,0,,,U,0,,7321.3176,26475.7908,33797.1084,LP,0,,U,0,,1.95E-01,5.03E-02,2.09E-01,,,,,,,,
44,kathy griffin should be ashamed of herself. my children especially my 11 year old son barron are having a hard time with this. sick!,31/05/2017 11:14,54196,195529,249725,0.321132936,0.499791256,0.506150057,0,0,0,132,VP,P,1.09E-01,3.47E-02,1.22E-01,,54357.73193,P,0,,,P,1,,6108.0888,48027.582,54135.6708,P,0,,P,1,,1.58E-01,8.20E-02,1.43E-01,,,,,,,,
45,big day planned on national security tomorrow. among many other things we will build the wall!,25/01/2017 02:37,53949,193872,247821,0.319669363,0.495547229,0.502280358,0,0,0,94,VP,P,9.62E-02,9.21E-02,7.52E-02,,47994.392,P,0,,,P,1,,15780.2184,29755.4112,45535.6296,P,0,,P,1,,1.65E-01,5.18E-02,1.77E-01,,,,,,,,
46,god bless the people of mexico city. we are with you and will be there for you.,19/09/2017 20:05,53528,190807,244335,0.31717477,0.48769693,0.495195395,0,0,0,79,VP,P,1.24E-01,1.16E-01,1.07E-01,,61469.91507,P,0,,,P,1,,19807.464,42171.117,61978.581,P,0,,P,1,,1.38E-01,4.05E-02,1.45E-01,,,,,,,,
47,i don't know putin have no deals in russia and the haters are going crazy - yet obama can make a deal with iran #1 in terror no problem!,07/02/2017 12:11,50474,188271,238745,0.2990786,0.481201544,0.483834253,0,0,1,136,VP,P,9.83E-02,2.99E-02,1.12E-01,,49068.20942,P,0,,,P,1,,5299.2696,44123.272,49422.5416,P,0,,P,1,,1.49E-01,7.25E-02,1.36E-01,,,,,,,,
48,"iran is playing with fire - they don't appreciate how ""kind"" president obama was to them. not me!",03/02/2017 11:28,64118,173210,237328,0.379924747,0.442626226,0.480954336,0,0,0,97,VP,P,1.27E-01,7.51E-02,1.25E-01,,62950.43413,P,0,,,P,1,,12915.6504,49198.875,62114.5254,P,0,,P,1,,1.25E-01,9.29E-02,1.01E-01,,,,,,,,
49,military solutions are now fully in placelocked and loadedshould north korea act unwisely. hopefully kim jong un will find another path!,11/08/2017 11:29,60063,176749,236812,0.355897254,0.451690568,0.479905615,0,0,0,136,VP,P,1.99E-01,1.25E-01,2.01E-01,,98560.33719,VP,1,,,P,1,,21324,78871.631,100195.631,VP,1,,P,1,,7.89E-02,5.33E-02,6.28E-02,,,,,,,,
50,just left hospital. rep. steve scalise one of the truly great people is in very tough shape - but he is a real fighter. pray for steve!,15/06/2017 01:41,41305,195471,236776,0.244748615,0.499642703,0.479832449,0,0,0,135,VP,P,1.16E-01,7.39E-02,1.35E-01,,57646.63296,P,0,,,P,1,,12713.4456,53103.185,65816.6306,P,0,,P,1,,1.32E-01,2.92E-02,1.33E-01,,,,,,,,
51,being nice to rocket man hasn't worked in 25 years why would it work now? clinton failed bush failed and obama failed. i won't fail.,01/10/2017 19:01,47699,188927,236626,0.282635618,0.482881738,0.479527588,0,0,0,132,VP,P,1.45E-01,9.43E-02,1.35E-01,,72255.47091,P,0,,,P,1,,16150.9272,53103.185,69254.1122,P,0,,P,1,,1.12E-01,3.55E-02,1.21E-01,,,,,,,,
52,watching the returns at 9:45pm. #electionnight #maga????,09/11/2016 02:48,45335,190930,236265,0.268627974,0.488011966,0.47879389,1,0,1,56,VP,P,7.35E-02,7.00E-02,6.17E-02,,36851.07055,LP,0,,,U,0,,12056.28,24484.5927,36540.8727,LP,0,,U,0,,1.64E-01,3.95E-02,1.82E-01,,,,,,,,
53,i am so proud of my daughter ivanka. to be abused and treated so badly by the media and to still hold her head so high is truly wonderful!,11/02/2017 23:00,28439,207438,235877,0.168512429,0.530293445,0.478005317,0,0,0,138,VP,P,1.47E-01,5.51E-02,1.58E-01,,72781.46808,P,0,,,P,1,,9545.5704,62083.098,71628.6684,P,0,,P,1,,1.10E-01,1.29E-02,1.39E-01,,,,,,,,
54,happy thanksgiving to everyone. we will together make america great again!,24/11/2016 03:30,48701,185773,234474,0.288572868,0.474803486,0.475153853,0,0,0,74,VP,P,9.32E-02,5.57E-02,9.33E-02,,46559.71862,P,0,,,P,1,,9646.6728,36822.2123,46468.8851,P,0,,P,1,,1.46E-01,5.42E-02,1.46E-01,,,,,,,,
55,we need to be smart vigilant and tough. we need the courts to give us back our rights. we need the travel ban as an extra level of safety!,03/06/2017 23:17,54075,180015,234090,0.320415963,0.460055682,0.47437341,0,0,0,138,VP,P,1.24E-01,6.04E-02,1.30E-01,,61868.18516,P,0,,,P,1,,10438.6416,51151.03,61589.6716,P,0,,P,1,,1.23E-01,6.76E-02,1.09E-01,,,,,,,,
56,if a player wants the privilege of making millions of dollars in the nflor other leagues he or she should not be allowed to disrespect....,23/09/2017 18:11,47642,184086,231728,0.28229787,0.47048262,0.46957287,0,0,0,138,VP,P,5.88E-02,3.44E-02,5.83E-02,,29597.21709,LP,0,,,U,0,,6057.5376,23157.1273,29214.6649,LP,0,,U,0,,1.69E-01,6.15E-02,1.70E-01,,,,,,,,
57,a fantastic day in d.c. met with president obama for first time. really good meeting great chemistry. melania liked mrs. o a lot!,11/11/2016 02:10,37788,192638,230426,0.223908986,0.492386619,0.466926679,0,0,0,129,VP,P,1.34E-01,9.30E-02,1.24E-01,,66657.22512,P,0,,,P,1,,15931.872,48808.444,64740.316,P,0,,P,1,,1.11E-01,1.71E-02,1.36E-01,,,,,,,,
58,the #marchforlife is so important. to all of you marching --- you have my full support!,27/01/2017 16:27,45457,184954,230411,0.269350873,0.472705805,0.466896193,0,0,1,87,VP,P,6.32E-02,4.23E-02,5.36E-02,,31768.15417,LP,0,,,U,0,,7388.7192,21322.1016,28710.8208,LP,0,,U,0,,1.63E-01,5.16E-02,1.76E-01,,,,,,,,
59,if the election were based on total popular vote i would have campaigned in n.y. florida and california and won even bigger and more easily,15/11/2016 13:34,49623,179219,228842,0.294036086,0.45801691,0.46370735,0,0,0,139,VP,P,5.40E-02,3.15E-02,5.35E-02,,27250.27308,LP,0,,,U,0,,5568.876,21283.0585,26851.9345,LP,0,,U,0,,1.68E-01,6.89E-02,1.64E-01,,,,,,,,
60,make america great again!,16/08/2017 12:39,52766,175370,228136,0.312659615,0.448158573,0.462272472,0,0,0,25,VP,P,1.59E-01,1.10E-01,1.27E-01,,78797.86777,P,0,,,P,1,,18796.44,49979.737,68776.177,P,0,,P,1,,9.20E-02,4.11E-02,1.03E-01,,,,,,,,
61,"at least 7 dead and 48 wounded in terror attack and mayor of london says there is ""no reason to be alarmed!""",04/06/2017 11:31,63789,163688,227477,0.377975291,0.418237794,0.460933118,0,0,0,108,VP,P,1.51E-01,7.74E-02,1.51E-01,,74951.85345,P,0,,,P,1,,13303.2096,59350.081,72653.2906,P,0,,P,1,,9.61E-02,9.03E-02,7.14E-02,,,,,,,,
62,happy easter to everyone!,16/04/2017 12:24,40671,186323,226994,0.240991912,0.476212186,0.459951466,0,0,0,25,VP,P,2.20E-01,1.24E-01,2.48E-01,,108946.2116,VP,1,,,P,1,,21155.496,97221.888,118377.384,VP,1,,P,1,,5.76E-02,1.37E-02,5.21E-02,,,,,,,,
63,if nfl fans refuse to go to games until players stop disrespecting our flag country you will see change take place fast. fire or suspend!,24/09/2017 10:44,45225,179990,225215,0.26797618,0.45999165,0.456335818,0,0,0,137,VP,P,1.18E-01,7.92E-02,1.04E-01,,58623.81007,P,0,,,P,1,,13606.5168,40999.824,54606.3408,P,0,,P,1,,1.14E-01,3.56E-02,1.27E-01,,,,,,,,
64,don't believe the main stream (fake news) media.the white house is running very well. i inherited a mess and am in the process of fixing it.,18/02/2017 13:31,39020,186074,225094,0.231209078,0.475574429,0.456089897,0,0,0,140,VP,P,9.65E-02,5.79E-02,1.06E-01,,48168.38634,P,0,,,P,1,,10017.3816,41780.686,51798.0676,P,0,,P,1,,1.29E-01,3.00E-02,1.37E-01,,,,,,,,
65,what truly matters is not which party controls our government but whether our government is controlled by the people.,20/01/2017 17:52,42790,180394,223184,0.253547833,0.461026404,0.452208004,0,0,0,117,VP,P,1.30E-01,8.54E-02,1.19E-01,,64661.46828,P,0,,,P,1,,14651.2416,46856.289,61507.5306,P,0,,P,1,,1.04E-01,2.83E-02,1.17E-01,,,,,,,,
66,enjoy the #superbowl and then we continue: make america great again!,05/02/2017 22:49,36535,185073,221608,0.216484461,0.473010596,0.449004935,0,0,1,68,VP,P,8.62E-02,3.51E-02,9.04E-02,,43075.59039,LP,0,,,U,0,,6175.4904,35689.9624,41865.4528,LP,0,,U,0,,1.32E-01,3.29E-02,1.46E-01,,,,,,,,
67,do you notice we are not having a gun debate right now? that's because they used knives and a truck!,04/06/2017 11:43,50591,168637,219228,0.299771872,0.430913529,0.444167812,0,0,0,100,VP,P,1.35E-01,1.06E-01,1.23E-01,,67128.43916,P,0,,,P,1,,18122.424,48418.013,66540.437,P,0,,P,1,,9.56E-02,3.75E-02,9.48E-02,,,,,,,,
68,the united states is considering in addition to other options stopping all trade with any country doing business with north korea.,03/09/2017 16:14,46856,171720,218576,0.277640506,0.438809931,0.442842684,0,0,0,130,VP,P,1.27E-01,9.25E-02,1.14E-01,,63224.65035,P,0,,,P,1,,15847.62,44904.134,60751.754,P,0,,P,1,,9.98E-02,3.43E-02,1.06E-01,,,,,,,,
69,when will the democrats give us our attorney general and rest of cabinet! they should be ashamed of themselves! no wonder d.c. doesn't work!,31/01/2017 11:27,38848,179221,218069,0.230189909,0.458022032,0.441812255,0,0,0,140,VP,P,1.49E-01,1.19E-01,1.41E-01,,74116.10288,P,0,,,P,1,,20312.976,55445.771,75758.747,P,0,,P,1,,8.57E-02,1.24E-02,1.01E-01,,,,,,,,
70,today we express our deepest gratitude to all those who have served in our armed forces. #thankavet,11/11/2016 15:26,47145,168933,216078,0.279352946,0.431671665,0.437765737,1,0,1,99,VP,P,1.13E-01,6.19E-02,9.66E-02,,56362.72681,P,0,,,P,1,,10691.3976,38110.6346,48802.0322,P,0,,P,1,,1.05E-01,4.73E-02,1.12E-01,,,,,,,,
71,let us give thanks for all that we have and let us boldly face the exciting new frontiers that lie ahead. happy th?,24/11/2016 02:17,48531,167399,215930,0.28756555,0.427742674,0.437464941,1,0,0,115,VP,P,8.05E-02,3.50E-02,7.36E-02,,40301.2416,LP,0,,,U,0,,6158.64,29130.7216,35289.3616,LP,0,,U,0,,1.27E-01,6.38E-02,1.25E-01,,,,,,,,
72,in addition to winning the electoral college in a landslide i won the popular vote if you deduct the millions of people who voted illegally,27/11/2016 20:30,53442,162476,215918,0.316665185,0.415133532,0.437440552,0,0,0,139,VP,P,2.01E-01,9.41E-02,2.25E-01,,99721.13528,VP,1,,,P,1,,16117.2264,88241.975,104359.2014,VP,1,,P,1,,5.59E-02,4.95E-02,3.62E-02,,,,,,,,
73,just got a call from my friend bill ford chairman of ford who advised me that he will be keeping the lincoln plant in kentucky - no mexico,18/11/2016 02:01,49187,166484,215671,0.291452612,0.42539911,0.436938548,0,0,0,138,VP,P,8.94E-02,8.38E-02,8.32E-02,,44661.30595,P,0,,,P,1,,14381.6352,32878.8592,47260.4944,P,0,,P,1,,1.21E-01,4.31E-02,1.17E-01,,,,,,,,
